t1_name,t1_youth,t1_sptnum_formula,t1_ra_today_formula,t1_dec_today_formula,data_release,dateobs,dec,instrument,ra,specid,specprimary,spectype,telescope,dist_arcsec
SDSS J000112.18+153535.5,lowg,13.7,0.3015,15.5922,BOSS-DR16,"[""2012-12-07 03:53:43"",""2012-12-07 03:53:43""]",15.593185,BOSS,0.3007450100000142,6949138442849898496,1,QSO,sloan25m,4.407686062885874
WISEA J000131.93-084126.9,N,11,0.3841,-8.6918,DESI-DR1,"[""2021-10-22 05:48:39.692"",""2021-10-22 05:48:39.692""]",-8.691534109412155,DESI,0.3838152986597005,39627574036401655,1,GALAXY,kp4m,1.3938168853965995
SDSS J000614.06+160454.5,N,10,1.5586,16.0816,SDSS-DR16,"[""2001-12-08 00:00:00"",""2001-12-08 00:00:00""]",16.081793,SDSS,1.558596,845694628949682176,1,STAR,sloan25m,0.6949377587854901
SDSS J000632.60+140606.3,N,10,1.6367,14.1019,BOSS-DR16,"[""2012-12-07 01:27:46"",""2012-12-07 01:27:46""]",14.101609,BOSS,1.636106900000016,6954709943128969216,1,STAR,sloan25m,2.3207207238712444
SDSS J001608.44-004302.3,N,15.5,4.036,-0.7175,BOSS-DR16,"[""2010-10-10 04:59:40"",""2010-10-10 04:59:40""]",-0.71738301,BOSS,4.035576999999989,4749084381892857856,1,STAR,sloan25m,1.57985296237462
SDSS J001637.62-103911.2,N,10,4.1561,-10.6541,SDSS-DR16,"[""2001-08-16 00:00:00"",""2001-08-16 00:00:00""]",-10.653101,SDSS,4.1567347,734133504375285760,1,STAR,sloan25m,4.239872394592161
SDSS J001911.65+003017.8,N,11,4.7984,0.5046,BOSS-DR16,"[""2010-10-10 04:59:40"",""2010-10-10 04:59:40""]",0.50490501,BOSS,4.798520399999973,4749317753235853312,1,STAR,sloan25m,1.1804824059590069
SDSS J002209.31-011040.2,N,10,5.5395,-1.1775,BOSS-DR16,"[""2010-10-11 05:13:58"",""2010-10-11 05:13:58""]",-1.1774552,BOSS,5.539240500000005,4750230897659498496,1,STAR,sloan25m,0.9478250595232041
ULAS J002422.94+002247.9,N,24.5,6.0957,0.3798,DESI-DR1,"[""2021-10-09 07:01:05.943"",""2021-10-09 07:01:05.943""]",0.3798,DESI,6.0957,2253197657767936,1,GALAXY,kp4m,0
BRI 0021-0214,N,9.5,6.1022,-1.9714,DESI-DR1,"[""2021-11-18 04:45:45.785"",""2021-11-18 04:45:45.785""]",-1.9722,DESI,6.1026,2376282562101248,1,STAR,kp4m,3.2195566618639857
PC 0025+0447,lowg,9.5,6.925,5.0616,BOSS-DR16,"[""2016-01-12 01:28:00"",""2016-01-12 01:28:00""]",5.061594,BOSS,6.92488800000001,-8598281135474847744,1,STAR,sloan25m,0.40220810790886374
2MASSI J0028394+150141,N,14.5,7.1655,15.0281,DESI-DR1,"[""2021-11-03 05:27:42.347"",""2021-11-03 05:27:42.347""]",15.0282208979966,DESI,7.165297522575127,39628143522221244,1,GALAXY,kp4m,0.827663912770485
2MASSW J0030438+313932,N,12,7.6822,31.6585,DESI-DR1,"[""2021-11-13 04:20:30.591"",""2021-11-13 04:20:30.591""]",31.65863820616811,DESI,7.682336771943434,39628514621654040,1,GALAXY,kp4m,0.6505383779716128
